Month,Day,Hour,Reported_Location,Latitude,Longitude,weekend?_Weekday,weekend?_Weekend
1,5,0,1ST & FESS,39.15920668,-86.52587356,1,0
1,6,15,2ND & COLLEGE,39.16144,-86.534848,1,0
1,6,23,BASSWOOD & BLOOMFIELD,39.14978027,-86.56889006,0,1
1,7,9,GATES & JACOBS,39.165655,-86.57595635,0,1
1,7,11,W 3RD,39.164848,-86.57962482,0,1
1,6,18,BURKS & WALNUT,39.12666969,-86.53136998,1,0
1,6,12,SOUTH CURRY PIKE LOT 71,39.150825,-86.584899,1,0
1,6,14,NORTH LOUDEN RD,39.19927216,-86.63702393,1,0
1,7,14,LIBERTY & W 3RD,39.16461021,-86.57913007,0,1
1,7,16,PATTERSON & W 3RD,39.16344009,-86.55128002,0,1
1,7,15,S LIBERTY,39.145264,-86.577616,0,1
1,7,16,E WINSLOW & S HIGHLAND,39.136048,-86.518496,0,1
1,7,17,E KIRKWOOD,39.16664,-86.53070106,0,1
1,7,18,HEATHERWOOD & LEONARD SPRINGS,39.12678972,-86.58258006,0,1
1,1,13,ROGERS & W PATTERSON,39.15379018,-86.53875008,0,1
1,1,15,SOUTH WALNUT & SOUTH WALNUT STREET,39.107344,-86.5264,0,1
1,1,18,17TH & MONROE,39.179248,-86.547104,0,1
1,1,18,ARLINGTON & MONROE,39.179248,-86.547104,0,1
1,1,16,NORTH GRANT,39.17830276,-86.52934265,0,1
1,1,16,SOUTH LIBERTY,39.145264,-86.577616,0,1
1,1,18,DILLMAN & SR37S,39.09571236,-86.54595204,0,1
1,1,12,RHORER & S WALNUT,39.12144,-86.526496,0,1
1,2,7,446 & SR46E,39.16692661,-86.4572165,1,0
1,1,7,CHAPEL HILL & SR446S,39.02843027,-86.40780689,0,1
1,2,7,3320 E RHORER & SNODDY,39.121584,-86.489744,1,0
1,2,13,3RD & KINGSTON,39.16424,-86.49312041,1,0
1,2,17,EAST 10TH & NORTH UNION,39.17093258,-86.509391,1,0
1,1,21,SOUTH CLARIZZ,39.15263367,-86.49272919,1,0
1,2,17,COUNTRY CLUB & ROGERS,39.13608,-86.538096,1,0
1,1,20,W SR 45,39.125312,-86.610496,1,0
1,2,19,E GETTYS CREEK & E KERR CREK,39.17187028,-86.4167107,1,0
1,2,17,3RD & LIBERTY,39.16461021,-86.57913007,1,0
1,2,21,SOUTH ROGERS & WEST GORDON PIKE,39.121648,-86.539088,1,0
1,7,20,INGRAM & SR37,38.992016,-86.537248,0,1
1,3,7,1025 W 7TH & N OAK,39.168656,-86.5468,1,0
1,3,12,DUNN & EAST 17TH,39.17900187,-86.52832631,1,0
1,3,15,10TH & WOODLAWN,39.171632,-86.52353600000001,1,0
1,2,21,GARDNER & GARRISON CHAPEL,39.134144,-86.642864,1,0
1,7,18,COOLIDGE & ROCKPORT,39.14192595,-86.54314176,0,1
1,3,19,HEADLEY & MATLOCK,39.19115236,-86.51175974,1,0
1,2,15,WEST ROLL,39.14728113,-86.58089831,1,0
1,2,15,SR46 & UNIONVALLEY,39.215152,-86.5928,1,0
1,3,19,DEER PARK & SR46W,39.21210074,-86.58736299,1,0
1,4,0,DUNN & OLD STATE RD 37,39.208048,-86.528704,1,0
1,4,4,BREEDEN & SR45W,39.0881573,-86.66901213,1,0
1,3,10,RAPPEL,39.18768311,-86.54618835,1,0
1,4,17,FESS & THIRD,39.16427777,-86.52588752,1,0
1,4,18,S COLLEGE MALL,39.15412578,-86.49786768,1,0
1,3,18,SR37S & VICTOR,39.105552,-86.551104,1,0
1,4,16,EAST KERR CREEK & SR46E,39.16664,-86.462496,1,0
1,4,15,SR37N & WAYPORT,39.263024,-86.52264,1,0
1,5,7,RHORER & S OLD ST RD 37,39.12141994,-86.53134987,1,0
1,5,6,S COLLEGE & W 4TH,39.165664,-86.5348,1,0
1,5,9,E 3RD & SR46E,39.16424,-86.473296,1,0
1,5,9,E 1ST & S EASTSIDE,39.159248,-86.51256,1,0
1,5,9,E 8TH & N WALNUT,39.169552,-86.533552,1,0
1,5,8,JORDAN & LAW,39.173552,-86.515488,1,0
1,7,0,EAST 3RD & PETE ELLIS,39.16424,-86.495088,0,1
1,4,22,S ROCKPORT & VICTOR,39.053744,-86.606304,1,0
1,5,18,ATWATER & HIGH,39.16311481,-86.50846175,1,0
1,5,20,CHAFIN CHAPEL & W STATE ROAD 46,39.25962636,-86.65763204,1,0
1,6,7,RHORER & S WALNUT ST,39.12144,-86.526496,1,0
1,6,8,SO PATTERSON & W 3RD,39.16344009,-86.55127137,1,0
1,1,13,CURRY & SR46W,39.15835953,-86.58264923,0,1
1,5,13,2ND & PATTERSON,39.16074984,-86.54850997,1,0
1,6,7,SR48 & STONE CHASE,39.16475122,-86.59523284,1,0
1,6,12,HENDERSON & HILLSIDE,39.15063632,-86.52720688,1,0
1,6,13,THIRD,39.164752,-86.573104,1,0
1,6,15,PATTERSON & THIRD,39.16344009,-86.55127137,1,0
1,6,15,E ATWATER & S HIGHLAND,39.16305989,-86.51773028,1,0
1,6,15,MOORES CREEK & SNOODY,39.12134014,-86.48974361,1,0
1,4,0,ACUFF & SR37N,39.20824,-86.554704,1,0
1,7,11,BURKS & WALNUT,39.15836229,-86.53136998,0,1
1,6,21,MITCHELL & THIRD,39.16427137,-86.51420373,0,1
1,1,18,BETHEL,39.21258773,-86.46348219,0,1
1,7,16,CURRY & GIFFORD,39.15648401,-86.58270442,0,1
1,7,15,3RD & GRANT,39.16464,-86.529728,0,1
1,6,20,RUSSELL & TIMBERCREST,39.193408,-86.48584,0,1
1,7,17,S COLLEGE,39.16115717,-86.53485253,0,1
1,1,1,7TH & N ROGERS,39.168704,-86.538576,0,1
1,1,10,7TH & WALNUT,39.16864,-86.533568,0,1
1,1,20,S LIBERTY & SR45W,39.14547579,-86.57703014,1,0
1,1,18,S CLARIZZ,39.15263367,-86.49272918,0,1
1,2,2,E SAMPLE & N OLD STATE 37,39.25864,-86.5012,1,0
1,1,12,WEST 11TH,39.17344,-86.52237094,0,1
1,2,6,BLOOMFIELD & SR37,39.148144,-86.572992,1,0
1,2,6,WEST 2ND,39.16025543,-86.54006195,1,0
1,2,7,TYLER LANE,39.1316,-86.576944,1,0
1,2,14,BLOOMFIELD & RANSOM,39.15944,-86.555296,1,0
1,2,15,S WEIMER & W TAPP,39.136512,-86.562016,1,0
1,3,3,CHANDLER & RENEE,39.23488,-86.616736,1,0
1,3,7,E 10TH & N WASHINGTON,39.171728,-86.5324,1,0
1,1,11,DELAP,39.250778,-86.615867,0,1
1,2,8,SHUFFLE CREEK & SR45E,39.22993318,-86.4157437,1,0
1,3,9,SR37 & SR45W,39.187344,-86.5552,1,0
1,3,11,6TH & INDIANA,39.167744,-86.526928,1,0
1,3,13,S WALNUT,39.13432546,-86.52733091,1,0
1,3,17,ROGERS & W 2ND,39.16152,-86.538592,1,0
1,3,17,3RD & SR37,39.164752,-86.573104,1,0
1,3,18,9TH & COLLEGE,39.170544,-86.534768,1,0
1,3,23,THIRD & WOODLAWN,39.16426449,-86.5226336,1,0
1,4,8,S CURRY,39.142048,-86.582592,1,0
1,3,12,S ROGERS & W 4TH,39.165696,-86.538592,1,0
1,4,9,PARK & WILSON,39.151552,-86.523664,1,0
1,4,11,COLLEGE & KIRKWOOD,39.16718927,-86.53479128,1,0
1,4,12,S HIGHLAND & WINSLOW FARM,39.136048,-86.518496,1,0
1,3,18,SR37S & VICTOR,39.105552,-86.551104,1,0
1,4,20,10TH & WOODLAWN,39.17108301,-86.52351178,1,0
1,5,7,3RD & WALNUT,39.16464,-86.5336,1,0
1,3,11,3RD,39.16424,-86.48599111,1,0
1,5,7,S WALNUT,39.142555,-86.531238,1,0
1,5,12,3RD & LIBERTY,39.16461021,-86.57913006,1,0
1,5,9,2418 E GOLDIN & E GOLDIN,39.128067,-86.50872634,1,0
1,5,0,NORTH FEE,39.17658828,-86.51891313,1,0
1,5,8,FOREST & KIRKWOOD,39.16608943,-86.5196257,1,0
1,5,15,N WALNUT & SR46E,39.186368,-86.5344,1,0
1,5,16,S HARMONY & SR45,39.111024,-86.638304,1,0
1,4,22,WEST 2ND,39.16144,-86.52709845,1,0
1,5,14,SOUTHERN & WALNUT,39.14984,-86.533392,1,0
1,6,10,SR37N & VERNAL,39.17635934,-86.56266121,1,0
1,5,11,S FRANKLIN & W 3RD,39.164688,-86.5712,1,0
1,5,12,COLLEGE MALL & SR46E,39.16424,-86.4984,1,0
1,5,16,GRIMES & WASHINGTON,39.15344,-86.5324,1,0
1,6,17,17TH & JORDAN,39.178848,-86.511088,1,0
1,6,16,LAW,39.17302832,-86.51339918,1,0
1,6,17,S GATES & WEST 3RD,39.16459009,-86.57619975,1,0
1,6,19,US45W,39.125312,-86.610496,0,1
1,7,2,DUNN & KIRKWOOD,39.16664,-86.528192,0,1
1,6,12,KIMBLE & W 3RD,39.16464,-86.568,1,0
1,7,1,HOPEWELL & W 8TH,39.16968,-86.552192,0,1
1,7,7,17TH & COLLEGE,39.17896,-86.53472,0,1
1,7,9,INDIANA & THIRTEENTH,39.17524746,-86.52701896,0,1
1,7,9,JORDAN & THIRD,39.16427532,-86.51640856,0,1
1,7,12,JORDAN & THIRD,39.16427532,-86.51640856,0,1
1,6,16,W 3RD,39.228944,-86.627504,1,0
1,6,18,4TH & WASHINGTON,39.165648,-86.5324,1,0
1,6,18,KOONTZ & W DUVALL,39.079248,-86.619792,1,0
1,7,15,E 10TH,39.17168,-86.527024,0,1
1,7,17,INDIANA & SEVENTH,39.16851475,-86.52695381,0,1
1,7,16,E GRAMERCY PARK & N HINKLE,39.21040021,-86.50542967,0,1
1,7,18,NORTH KINSER & SR46E,39.186544,-86.537888,0,1
1,4,18,SR37S & WEST WAYSIDE,39.10921097,-86.53382873,1,0
1,7,15,S COLLEGE MALL,39.175152,-86.534752,0,1
1,7,16,E 3RD & OVERHILL,39.164272,-86.501488,0,1
1,5,15,NORTH TEXAS RIDGE,39.31562042,-86.66162872,1,0
1,6,16,EAST SMITHVILLE,39.071056,-86.5356,1,0
1,6,19,SOUTH BREEDEN & SR45W,39.0873344,-86.67042215,0,1
1,7,11,GATES & SR45W,39.16820908,-86.57639312,0,1
1,1,8,CAVE ROAD & W AIRPORT ROAD,39.13688,-86.628768,0,1
1,1,9,MILLER & S WALNUT,39.146944,-86.532544,0,1
1,7,21,N MARY & W REEVES,39.231312,-86.636704,0,1
1,1,14,E 3RD & S JEFFERSON,39.164304,-86.506992,0,1
1,6,7,BURMA & SR37,39.31831096,-86.51055935,1,0
1,1,8,GETTYS CREEK & SR46,39.16351024,-86.41786097,0,1
1,1,9,GETTYS CREEK & SR46,39.16351024,-86.41786097,0,1
1,1,9,GETTYS CREEK & SR46,39.16351024,-86.41786097,0,1
1,1,22,S MONON,39.1506691,-86.53471374,1,0
1,2,2,E 14TH,39.17600327,-86.53063151,1,0
1,2,2,JORDAN & THIRD,39.16427532,-86.51640856,1,0
1,1,0,S ROCKPORT & W MAY,39.093344,-86.5868,0,1
1,6,22,ANNE & STRAIN RIDGE,39.04934026,-86.51109208,0,1
1,7,23,E WINDEMERE DR,39.164032,-86.570272,0,1
